"","cog_names","cog_stat_all","cog_min_all","cog_max_all","cog_stat_atg","cog_min_atg","cog_max_atg","cog_stat_gtg","cog_min_gtg","cog_max_gtg","cog_stat_ttg","cog_min_ttg","cog_max_ttg"
"S","unknown",0.72765,0.72206,0.73317,0.72824,0.72239,0.73402,0.71934,0.69954,0.7383,0.75155,0.67899,0.81192
"K","transcription",0.01786,0.01628,0.0196,0.01754,0.0159,0.01934,0.02181,0.01631,0.02916,0.01242,0.00078,0.04771
"D","cell_cycle",0.00466,0.00388,0.00559,0.00454,0.00374,0.00552,0.0063,0.0036,0.01092,0,-0.00458,0.02882
"E","aminoacid",0.03629,0.03403,0.0387,0.03539,0.03305,0.03789,0.04605,0.03781,0.05605,0.03727,0.01571,0.08126
"P","inorganic",0.01572,0.01424,0.01735,0.01594,0.01438,0.01766,0.01357,0.00936,0.01967,0.01242,0.00078,0.04771
"N","cell_motility",0.00636,0.00544,0.00744,0.00623,0.00528,0.00736,0.00824,0.00508,0.01331,0,-0.00458,0.02882
"G","carbohydrate",0.01636,0.01486,0.01803,0.01638,0.0148,0.01813,0.01697,0.01218,0.02362,0.00621,-0.0022,0.03857
"I","lipid",0.01438,0.01297,0.01595,0.0142,0.01273,0.01584,0.01648,0.01178,0.02306,0.01242,0.00078,0.04771
"O","protein_posttrans",0.01422,0.01281,0.01578,0.01433,0.01286,0.01598,0.01406,0.00976,0.02024,0,-0.00458,0.02882
"J","translation_and_ribosomes",0.03167,0.02956,0.03394,0.03209,0.02987,0.03449,0.0286,0.02222,0.03681,0.01242,0.00078,0.04771
"X","mobilome",0.0036,0.00293,0.00444,0.00369,0.00298,0.00459,0.00242,0.00088,0.00589,0.00621,-0.0022,0.03857
"Q","secondary_metabolites",0.00365,0.00297,0.00449,0.00387,0.00314,0.00478,0.00145,0.0003,0.00454,0,-0.00458,0.02882
"U","vesiculs_and_secretion",0.00259,0.00203,0.00332,0.0024,0.00184,0.00314,0.00436,0.00219,0.00846,0.00621,-0.0022,0.03857
"W","extracel",0.00032,0.00015,0.00066,0.00031,0.00014,0.00066,0.00048,-0.00019,0.00309,0,-0.00458,0.02882
"R","general_function_only",0.01324,0.01189,0.01475,0.01335,0.01194,0.01495,0.01212,0.00817,0.01796,0.01242,0.00078,0.04771
"V","defense",0.00952,0.00838,0.01081,0.00948,0.0083,0.01084,0.01018,0.00661,0.01565,0.00621,-0.0022,0.03857
"F","nucleotide",0.01535,0.01389,0.01697,0.01531,0.01379,0.01701,0.01454,0.01016,0.0208,0.03106,0.01167,0.07318
"C","energy",0.01908,0.01745,0.02086,0.01919,0.01747,0.02107,0.01842,0.01341,0.02529,0.01242,0.00078,0.04771
"M","cell_wall",0.02329,0.02148,0.02525,0.0231,0.02122,0.02516,0.02327,0.01757,0.03081,0.04969,0.0242,0.09701
"T","signal_transduction",0.01527,0.01382,0.01688,0.01509,0.01358,0.01677,0.01648,0.01178,0.02306,0.02484,0.0078,0.06493
"H","coensime",0.02426,0.02242,0.02626,0.02439,0.02246,0.0265,0.02327,0.01757,0.03081,0.01863,0.00415,0.05646
"L","repl_reco_repa",0.01466,0.01324,0.01624,0.01465,0.01316,0.01631,0.01503,0.01056,0.02137,0.01242,0.00078,0.04771
