"","us","ps","aps"
"S.ATG_GTG",34,0.874734596102066,1
"S.ATG_TTG",34,0.874734596102066,1
"S.GTG_TTG",30,0.87464301483539,1
"K.ATG_GTG",23,0.370971949003383,1
"K.ATG_TTG",48,0.0941295465688918,0.282388639706675
"K.GTG_TTG",16,0.093873700531015,0.281621101593045
"D.ATG_GTG",30,0.874182076399018,1
"D.ATG_TTG",64,0.000400810932671719,0.00120243279801516
"D.GTG_TTG",12,0.0126798684465969,0.0380396053397907
"E.ATG_GTG",14,0.0650867264927668,0.1952601794783
"E.ATG_TTG",32,1,1
"E.GTG_TTG",26,0.559747020864603,1
"P.ATG_GTG",45,0.185336586731667,0.556009760195
"P.ATG_TTG",56,0.0093972594357952,0.0281917783073856
"P.GTG_TTG",8,0.00986583100863259,0.0295974930258978
"N.ATG_GTG",16,0.0984722781285988,0.295416834385797
"N.ATG_TTG",64,0.000361542635052521,0.00108462790515756
"N.GTG_TTG",0,0.000370020527276825,0.00111006158183047
"G.ATG_GTG",30,0.873996272117418,1
"G.ATG_TTG",56,0.00974763660710645,0.0292429098213193
"G.GTG_TTG",8,0.0096888016001149,0.0290664048003447
"I.ATG_GTG",18,0.15411736358788,0.46235209076364
"I.ATG_TTG",48,0.093873700531015,0.281621101593045
"I.GTG_TTG",16,0.0931059344934856,0.279317803480457
"O.ATG_GTG",32,1,1
"O.ATG_TTG",64,0.000400810932671719,0.00120243279801516
"O.GTG_TTG",0,0.000387400320298058,0.00116220096089417
"J.ATG_GTG",46,0.154423253780087,0.46326976134026
"J.ATG_TTG",48,0.0941295465688918,0.282388639706675
"J.GTG_TTG",16,0.0931059344934856,0.279317803480457
"X.ATG_GTG",42,0.31339140683702,0.940174220511061
"X.ATG_TTG",56,0.00998472274939182,0.0299541682481755
"X.GTG_TTG",22,0.223091265529315,0.669273796587945
"Q.ATG_GTG",58,0.00558325137007454,0.0167497541102236
"Q.ATG_TTG",64,0.000321224416665947,0.000963673249997842
"Q.GTG_TTG",20,0.0745864156913982,0.223759247074195
"U.ATG_GTG",24,0.427478521950833,1
"U.ATG_TTG",56,0.00974763660710645,0.0292429098213193
"U.GTG_TTG",18.5,0.115981814713902,0.347945444141705
"W.ATG_GTG",52.5,0.018422125454099,0.055266376362297
"W.ATG_TTG",60,0.000794635900585446,0.00238390770175634
"W.GTG_TTG",28,0.381573905705021,1
"R.ATG_GTG",40,0.429536845063436,1
"R.ATG_TTG",48,0.0941295465688918,0.282388639706675
"R.GTG_TTG",16,0.0936178159661052,0.280853447898316
"V.ATG_GTG",32,1,1
"V.ATG_TTG",56,0.00974763660710645,0.0292429098213193
"V.GTG_TTG",8,0.00963014175518832,0.028890425265565
"F.ATG_GTG",35,0.791996794536151,1
"F.ATG_TTG",24,0.421526064125753,1
"F.GTG_TTG",40,0.421526064125753,1
"C.ATG_GTG",36,0.712178117255223,1
"C.ATG_TTG",48,0.0941295465688918,0.282388639706675
"C.GTG_TTG",16,0.0933618936823273,0.280085681046982
"M.ATG_GTG",30,0.874551232415553,1
"M.ATG_TTG",16,0.0979620812201116,0.293886243660335
"M.GTG_TTG",48,0.0977069063317863,0.293120718995359
"T.ATG_GTG",24,0.428853154422671,1
"T.ATG_TTG",40,0.423295606269084,1
"T.GTG_TTG",24,0.421881246645073,1
"H.ATG_GTG",39,0.493562789703389,1
"H.ATG_TTG",48,0.093873700531015,0.281621101593045
"H.GTG_TTG",16,0.0943853532771772,0.283156059831532
"L.ATG_GTG",26,0.562371966971069,1
"L.ATG_TTG",56,0.00992518985056532,0.029775569551696
"L.GTG_TTG",8,0.00980664650182923,0.0294199395054877
