"","cog_abs_nc","cog_perc_nc","cog_abs_atg","cog_perc_atg","cog_abs_gtg","cog_perc_gtg","cog_abs_ttg","cog_perc_ttg","cog_abs_all","cog_perc_all"
"S",1605,0.721672661870504,16360,0.728243935010016,1484,0.719340765874939,121,0.751552795031056,17965,0.727651990765118
"K",47,0.0211330935251799,394,0.0175383930558647,45,0.0218128938439166,2,0.0124223602484472,441,0.0178622058406578
"D",13,0.00584532374100719,102,0.00454039617182284,13,0.00630150266602036,0,0,115,0.00465794483373162
"E",101,0.0454136690647482,795,0.0353883819274427,95,0.0460494425593795,6,0.0372670807453416,896,0.0362914658349872
"P",30,0.0134892086330935,358,0.015935900289339,28,0.0135724672806592,2,0.0124223602484472,388,0.0157155008303293
"N",17,0.00764388489208633,140,0.00623191631426664,17,0.00824042656325739,0,0,157,0.00635910729474665
"G",36,0.0161870503597122,368,0.0163810371689294,35,0.016965584100824,1,0.0062111801242236,404,0.0163635627202398
"I",36,0.0161870503597122,319,0.0141998664589361,34,0.0164808531265148,2,0.0124223602484472,355,0.0143788731823889
"O",29,0.0130395683453237,322,0.0143334075228133,29,0.0140571982549685,0,0,351,0.0142168577099113
"J",61,0.0274280575539568,721,0.0320943690184732,59,0.0285991274842462,2,0.0124223602484472,782,0.031674024869375
"X",6,0.00269784172661871,83,0.00369463610060093,5,0.00242365487154629,1,0.0062111801242236,89,0.00360484426262708
"Z",0,0,0,0,0,0,0,0,0,0
"Q",3,0.00134892086330935,87,0.00387269085243712,3,0.00145419292292777,0,0,90,0.00364534813074649
"U",10,0.00449640287769784,54,0.00240373914978856,9,0.00436257876878332,1,0.0062111801242236,64,0.00259224755964195
"W",1,0.000449640287769784,7,0.000311595815713332,1,0.000484730974309258,0,0,8,0.000324030944955243
"B",0,0,0,0,0,0,0,0,0,0
"R",27,0.0121402877697842,300,0.0133541063877142,25,0.0121182743577315,2,0.0124223602484472,327,0.0132447648750456
"V",22,0.00989208633093525,213,0.0094814155352771,21,0.0101793504604944,1,0.0062111801242236,235,0.00951840900806027
"F",35,0.0157374100719424,344,0.0153127086579123,30,0.0145419292292778,5,0.031055900621118,379,0.0153509660172546
"A",0,0,0,0,0,0,0,0,0,0
"C",40,0.0179856115107914,431,0.0191853995103494,38,0.0184197770237518,2,0.0124223602484472,471,0.0190773218842399
"M",56,0.0251798561151079,519,0.0231026040507456,48,0.0232670867668444,8,0.0496894409937888,575,0.0232897241686581
"T",38,0.0170863309352518,339,0.0150901402181171,34,0.0164808531265148,4,0.0248447204968944,377,0.0152699582810158
"H",51,0.022931654676259,548,0.024393501001558,48,0.0232670867668444,3,0.0186335403726708,599,0.0242618170035238
"L",33,0.0148381294964029,329,0.0146450033385266,31,0.015026660203587,2,0.0124223602484472,362,0.0146624002592248
