locus_tag	ftype	length_bp	gene	EC_number	COG	product
IPKNLIHJ_00001	CDS	1011				hypothetical protein
IPKNLIHJ_00002	CDS	1299	umuC		COG0389	Protein UmuC
IPKNLIHJ_00003	CDS	3276				hypothetical protein
IPKNLIHJ_00004	CDS	1146				hypothetical protein
IPKNLIHJ_00005	CDS	159				hypothetical protein
IPKNLIHJ_00006	CDS	234				hypothetical protein
IPKNLIHJ_00007	CDS	237				hypothetical protein
IPKNLIHJ_00008	CDS	141	xerD_1			Tyrosine recombinase XerD
IPKNLIHJ_00009	CDS	459				hypothetical protein
IPKNLIHJ_00010	CDS	459				hypothetical protein
IPKNLIHJ_00011	CDS	576	xerD_2		COG4974	Tyrosine recombinase XerD
IPKNLIHJ_00012	CDS	2352				hypothetical protein
IPKNLIHJ_00013	CDS	954				hypothetical protein
IPKNLIHJ_00014	CDS	957				hypothetical protein
IPKNLIHJ_00015	CDS	795				hypothetical protein
IPKNLIHJ_00016	CDS	237				hypothetical protein
IPKNLIHJ_00017	CDS	1818				hypothetical protein
IPKNLIHJ_00018	CDS	198				hypothetical protein
IPKNLIHJ_00019	CDS	672				hypothetical protein
IPKNLIHJ_00020	CDS	270				hypothetical protein
IPKNLIHJ_00021	CDS	798				hypothetical protein
IPKNLIHJ_00022	CDS	312				hypothetical protein
IPKNLIHJ_00023	CDS	507				hypothetical protein
IPKNLIHJ_00024	CDS	669				hypothetical protein
IPKNLIHJ_00025	CDS	3147				hypothetical protein
IPKNLIHJ_00026	CDS	225				hypothetical protein
IPKNLIHJ_00027	CDS	636				hypothetical protein
IPKNLIHJ_00028	CDS	114				hypothetical protein
IPKNLIHJ_00029	CDS	321				hypothetical protein
IPKNLIHJ_00030	CDS	1356				hypothetical protein
IPKNLIHJ_00031	CDS	2445				hypothetical protein
IPKNLIHJ_00032	CDS	1017				hypothetical protein
