ortologus_row,ATG,GTG,TTG,uniformity,Species,Genes,cog,organism
34,0.0,8.0,0.0,same,8,8,absent,S_ruber
35,8.0,0.0,0.0,same,8,8,COG1250,S_ruber
36,8.0,0.0,0.0,same,8,8,COG0183,S_ruber
37,8.0,0.0,0.0,same,8,8,absent,S_ruber
38,0.0,8.0,0.0,same,8,8,absent,S_ruber
39,8.0,0.0,0.0,same,8,8,COG0181,S_ruber
40,8.0,0.0,0.0,same,8,8,absent,S_ruber
41,8.0,0.0,0.0,same,8,8,absent,S_ruber
42,8.0,0.0,0.0,same,8,8,absent,S_ruber
43,8.0,0.0,0.0,same,8,8,absent,S_ruber
44,8.0,0.0,0.0,same,8,8,absent,S_ruber
45,8.0,0.0,0.0,same,8,8,COG1232,S_ruber
46,8.0,0.0,0.0,same,8,8,absent,S_ruber
47,8.0,0.0,0.0,same,8,8,absent,S_ruber
48,8.0,0.0,0.0,same,8,8,absent,S_ruber
49,8.0,0.0,0.0,same,8,8,absent,S_ruber
50,8.0,0.0,0.0,same,8,8,COG1536,S_ruber
51,8.0,0.0,0.0,same,8,8,absent,S_ruber
52,8.0,0.0,0.0,same,8,8,COG0117,S_ruber
53,8.0,0.0,0.0,same,8,8,COG0530,S_ruber
54,8.0,0.0,0.0,same,8,8,absent,S_ruber
55,8.0,0.0,0.0,same,8,8,COG0172,S_ruber
56,8.0,0.0,0.0,same,8,8,absent,S_ruber
57,8.0,0.0,0.0,same,8,8,COG0051,S_ruber
58,8.0,0.0,0.0,same,8,8,absent,S_ruber
59,8.0,0.0,0.0,same,8,8,absent,S_ruber
60,8.0,0.0,0.0,same,8,8,COG1073,S_ruber
61,8.0,0.0,0.0,same,8,8,COG4770,S_ruber
62,8.0,0.0,0.0,same,8,8,COG0846,S_ruber
63,8.0,0.0,0.0,same,8,8,absent,S_ruber
64,8.0,0.0,0.0,same,8,8,COG0207,S_ruber
65,0.0,8.0,0.0,same,8,8,COG0508,S_ruber
66,8.0,0.0,0.0,same,8,8,absent,S_ruber
67,7.0,1.0,0.0,different,8,8,absent,S_ruber
68,3.0,5.0,0.0,different,8,8,absent,S_ruber
69,8.0,0.0,0.0,same,8,8,absent,S_ruber
70,8.0,0.0,0.0,same,8,8,absent,S_ruber
71,8.0,0.0,0.0,same,8,8,absent,S_ruber
72,8.0,0.0,0.0,same,8,8,absent,S_ruber
73,8.0,0.0,0.0,same,8,8,COG1132,S_ruber
74,8.0,0.0,0.0,same,8,8,COG0637,S_ruber
75,8.0,0.0,0.0,same,8,8,absent,S_ruber
76,8.0,0.0,0.0,same,8,8,absent,S_ruber
77,8.0,0.0,0.0,same,8,8,absent,S_ruber
78,4.0,4.0,0.0,different,8,8,COG4591,S_ruber
79,8.0,0.0,0.0,same,8,8,absent,S_ruber
80,8.0,0.0,0.0,same,8,8,absent,S_ruber
81,8.0,0.0,0.0,same,8,8,absent,S_ruber
82,0.0,8.0,0.0,same,8,8,COG0757,S_ruber
83,8.0,0.0,0.0,same,8,8,absent,S_ruber
84,8.0,0.0,0.0,same,8,8,absent,S_ruber
85,8.0,0.0,0.0,same,8,8,absent,S_ruber
86,8.0,0.0,0.0,same,8,8,COG0581,S_ruber
87,8.0,0.0,0.0,same,8,8,COG1960,S_ruber
88,8.0,0.0,0.0,same,8,8,COG0526,S_ruber
89,8.0,0.0,0.0,same,8,8,absent,S_ruber
90,8.0,0.0,0.0,same,8,8,COG0572,S_ruber
91,8.0,0.0,0.0,same,8,8,COG1001,S_ruber
92,0.0,8.0,0.0,same,8,8,absent,S_ruber
93,8.0,0.0,0.0,same,8,8,absent,S_ruber
94,8.0,0.0,0.0,same,8,8,absent,S_ruber
95,8.0,0.0,0.0,same,8,8,absent,S_ruber
96,8.0,0.0,0.0,same,8,8,absent,S_ruber
97,8.0,0.0,0.0,same,8,8,absent,S_ruber
98,8.0,0.0,0.0,same,8,8,COG0128,S_ruber
99,3.0,5.0,0.0,different,8,8,absent,S_ruber
100,8.0,0.0,0.0,same,8,8,absent,S_ruber
101,8.0,0.0,0.0,same,8,8,absent,S_ruber
102,8.0,0.0,0.0,same,8,8,absent,S_ruber
103,8.0,0.0,0.0,same,8,8,absent,S_ruber
104,8.0,0.0,0.0,same,8,8,COG0472,S_ruber
105,8.0,0.0,0.0,same,8,8,COG4663,S_ruber
106,8.0,0.0,0.0,same,8,8,absent,S_ruber
107,8.0,0.0,0.0,same,8,8,absent,S_ruber
108,8.0,0.0,0.0,same,8,8,absent,S_ruber
109,8.0,0.0,0.0,same,8,8,absent,S_ruber
110,8.0,0.0,0.0,same,8,8,COG0424,S_ruber
111,8.0,0.0,0.0,same,8,8,absent,S_ruber
112,8.0,0.0,0.0,same,8,8,absent,S_ruber
113,8.0,0.0,0.0,same,8,8,absent,S_ruber
114,8.0,0.0,0.0,same,8,8,absent,S_ruber
115,8.0,0.0,0.0,same,8,8,COG0662,S_ruber
116,8.0,0.0,0.0,same,8,8,absent,S_ruber
117,8.0,0.0,0.0,same,8,8,absent,S_ruber
118,8.0,0.0,0.0,same,8,8,absent,S_ruber
