ortologus_row,start_codons,ATG,GTG,TTG,uniformity,Species,Genes,Alg.-Conn.,S_ruber0.fasta,S_ruber1.fasta,S_ruber2.fasta,S_ruber3.fasta,S_ruber4.fasta,S_ruber5.fasta,S_ruber6.fasta,S_ruber7.fasta,cog,organism
34,"['GTG', 'GTG', 'GTG', 'GTG', 'GTG', 'GTG', 'GTG', 'GTG']",0.0,8.0,0.0,same,8,8,@10004194:0.953,BJLFMBCO_01793_S_ruber0_5,GNNGOPDE_01926_S_ruber1_3,DFALBHKG_01798_S_ruber2_4,NHIKOAIL_01840_S_ruber3_5,KFBDFGIE_01773_S_ruber4_1,MENLLFMI_01845_S_ruber5_1,FBNFPFMN_01873_S_ruber6_2,HOOJEANF_01819_S_ruber7_2,absent,S_ruber
35,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1003288870:0.918,BJLFMBCO_01506_S_ruber0_5,GNNGOPDE_01633_S_ruber1_3,DFALBHKG_01502_S_ruber2_4,NHIKOAIL_01550_S_ruber3_5,KFBDFGIE_01474_S_ruber4_1,MENLLFMI_01553_S_ruber5_1,FBNFPFMN_01585_S_ruber6_2,HOOJEANF_01533_S_ruber7_2,COG1250,S_ruber
36,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1004200118:0.959,BJLFMBCO_01301_S_ruber0_5,GNNGOPDE_01423_S_ruber1_3,DFALBHKG_01294_S_ruber2_4,NHIKOAIL_01340_S_ruber3_5,KFBDFGIE_01256_S_ruber4_1,MENLLFMI_01346_S_ruber5_1,FBNFPFMN_01375_S_ruber6_2,HOOJEANF_01325_S_ruber7_2,COG0183,S_ruber
37,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1004587692:0.906,BJLFMBCO_02774_S_ruber0_5,GNNGOPDE_03048_S_ruber1_3,DFALBHKG_02826_S_ruber2_4,NHIKOAIL_02944_S_ruber3_5,KFBDFGIE_02920_S_ruber4_1,MENLLFMI_02877_S_ruber5_1,FBNFPFMN_02875_S_ruber6_2,HOOJEANF_02814_S_ruber7_2,absent,S_ruber
38,"['GTG', 'GTG', 'GTG', 'GTG', 'GTG', 'GTG', 'GTG', 'GTG']",0.0,8.0,0.0,same,8,8,@1004655000:0.954,BJLFMBCO_02321_S_ruber0_5,GNNGOPDE_02494_S_ruber1_3,DFALBHKG_02365_S_ruber2_4,NHIKOAIL_02381_S_ruber3_5,KFBDFGIE_02468_S_ruber4_1,MENLLFMI_02422_S_ruber5_1,FBNFPFMN_02420_S_ruber6_2,HOOJEANF_02358_S_ruber7_2,absent,S_ruber
39,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1006813760:0.964,BJLFMBCO_01652_S_ruber0_5,GNNGOPDE_01780_S_ruber1_3,DFALBHKG_01647_S_ruber2_4,NHIKOAIL_01698_S_ruber3_5,KFBDFGIE_01616_S_ruber4_1,MENLLFMI_01703_S_ruber5_1,FBNFPFMN_01731_S_ruber6_2,HOOJEANF_01679_S_ruber7_2,COG0181,S_ruber
40,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@100771804:0.963,BJLFMBCO_01503_S_ruber0_5,GNNGOPDE_01630_S_ruber1_3,DFALBHKG_01499_S_ruber2_4,NHIKOAIL_01547_S_ruber3_5,KFBDFGIE_01470_S_ruber4_1,MENLLFMI_01550_S_ruber5_1,FBNFPFMN_01582_S_ruber6_2,HOOJEANF_01530_S_ruber7_2,absent,S_ruber
41,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1008157978:0.957,BJLFMBCO_02795_S_ruber0_5,GNNGOPDE_03070_S_ruber1_3,DFALBHKG_02848_S_ruber2_4,NHIKOAIL_02968_S_ruber3_5,KFBDFGIE_02942_S_ruber4_1,MENLLFMI_02899_S_ruber5_1,FBNFPFMN_02897_S_ruber6_2,HOOJEANF_02838_S_ruber7_2,absent,S_ruber
42,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1010517088:0.962,BJLFMBCO_00098_S_ruber0_5,GNNGOPDE_00098_S_ruber1_3,DFALBHKG_00101_S_ruber2_4,NHIKOAIL_00095_S_ruber3_5,KFBDFGIE_00094_S_ruber4_1,MENLLFMI_00107_S_ruber5_1,FBNFPFMN_00096_S_ruber6_2,HOOJEANF_00095_S_ruber7_2,absent,S_ruber
43,"['ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG', 'ATG']",8.0,0.0,0.0,same,8,8,@1011507264:0.97,BJLFMBCO_01881_S_ruber0_5,GNNGOPDE_02021_S_ruber1_3,DFALBHKG_01893_S_ruber2_4,NHIKOAIL_01930_S_ruber3_5,KFBDFGIE_01862_S_ruber4_1,MENLLFMI_01933_S_ruber5_1,FBNFPFMN_01969_S_ruber6_2,HOOJEANF_01907_S_ruber7_2,absent,S_ruber
